game_id,pair_id,agent,opponent,agent_is_first,result,result_label,moves_agent,moves_total,complexity_total_ns,response_time_mean_ms,response_time_min_ms,response_time_max_ms,available_actions_mean,available_actions_min,available_actions_max,random_seed
38,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,7,14,151900,0.0217,0.0198,0.0236,7.0,7,7,8935416531876977598
38,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,7,14,872400,0.12462857142857144,0.105,0.1465,7.0,7,7,8935416531876977598
39,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,3,7,60700,0.020233333333333332,0.0198,0.0206,7.0,7,7,8587645496316197344
39,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,4,7,388200,0.09705,0.0861,0.1068,7.0,7,7,8587645496316197344
40,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,19,38,403500,0.021236842105263158,0.0197,0.0252,6.315789473684211,3,7,5879157956595492868
40,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,19,38,3644400,0.19181052631578946,0.1061,0.2883,6.2105263157894735,3,7,5879157956595492868
41,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,8,16,164700,0.0205875,0.0187,0.0242,7.0,7,7,1293748467758163428
41,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,8,16,1068600,0.133575,0.1042,0.1536,7.0,7,7,1293748467758163428
42,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,10,21,211900,0.02119,0.0198,0.0255,7.0,7,7,3567521244640745799
42,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,11,21,1646800,0.1497090909090909,0.1049,0.222,7.0,7,7,3567521244640745799
43,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,6,12,126300,0.02105,0.0195,0.0239,7.0,7,7,5636928995803521501
43,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,6,12,668000,0.11133333333333333,0.0894,0.1287,7.0,7,7,5636928995803521501
44,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,8,17,171300,0.0214125,0.0195,0.0256,7.0,7,7,5145863453798586277
44,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,9,17,1191700,0.13241111111111112,0.097,0.1615,7.0,7,7,5145863453798586277
45,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,4,8,82300,0.020575,0.0193,0.0231,7.0,7,7,4429330660493286571
45,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,4,8,409100,0.102275,0.0937,0.1082,7.0,7,7,4429330660493286571
46,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,10,21,208400,0.02084,0.0197,0.0256,7.0,7,7,7728860957053061178
46,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,11,21,1520700,0.13824545454545456,0.0975,0.178,7.0,7,7,7728860957053061178
47,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,8,16,168000,0.021,0.0198,0.0233,6.75,6,7,556806866335320487
47,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,8,16,1161900,0.1452375,0.11,0.1786,6.625,6,7,556806866335320487
48,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,13,26,286100,0.022007692307692308,0.0197,0.0268,7.0,7,7,779810409023365248
48,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,13,26,2163500,0.16642307692307692,0.0892,0.2443,6.923076923076923,6,7,779810409023365248
49,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,13,26,281700,0.02166923076923077,0.0197,0.026,6.769230769230769,6,7,7611090777936900997
49,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,13,26,2265500,0.1742692307692308,0.1044,0.2956,6.6923076923076925,6,7,7611090777936900997
50,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,8,17,165600,0.0207,0.0198,0.0219,7.0,7,7,9121705752967573576
50,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,9,17,1152500,0.12805555555555556,0.0982,0.1771,7.0,7,7,9121705752967573576
51,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,8,17,164100,0.0205125,0.0199,0.0222,7.0,7,7,9120636390414921262
51,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,9,17,1120500,0.1245,0.101,0.1632,7.0,7,7,9120636390414921262
52,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,3,7,73800,0.0246,0.0208,0.031,7.0,7,7,7882539119314543406
52,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,4,7,502100,0.125525,0.1017,0.151,7.0,7,7,7882539119314543406
53,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,6,13,126500,0.021083333333333332,0.0197,0.0235,7.0,7,7,6887483591004551991
53,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,7,13,854800,0.12211428571428572,0.1041,0.1583,7.0,7,7,6887483591004551991
54,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,11,23,228700,0.020790909090909093,0.02,0.0218,7.0,7,7,5574602572638152552
54,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,12,23,1863200,0.15526666666666666,0.1024,0.2101,7.0,7,7,5574602572638152552
55,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,11,22,231400,0.021036363636363638,0.0199,0.0241,6.909090909090909,6,7,6097509149435485308
55,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,11,22,1701700,0.1547,0.1045,0.2499,6.909090909090909,6,7,6097509149435485308
56,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,11,22,241800,0.02198181818181818,0.0199,0.029,7.0,7,7,9052291313335897055
56,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,11,22,1736200,0.15783636363636364,0.1003,0.2418,7.0,7,7,9052291313335897055
57,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,11,22,238900,0.02171818181818182,0.02,0.0263,7.0,7,7,8711797530453460575
57,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,11,22,1517700,0.13797272727272727,0.089,0.2248,6.909090909090909,6,7,8711797530453460575
58,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,5,11,103200,0.02064,0.0195,0.0221,7.0,7,7,3134602135892395381
58,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,6,11,686300,0.11438333333333332,0.0982,0.132,7.0,7,7,3134602135892395381
59,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,12,24,255300,0.021275,0.0199,0.0254,6.75,6,7,2580333779806327834
59,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,12,24,1732500,0.144375,0.0912,0.1961,6.75,6,7,2580333779806327834
60,Random_vs_RandomBeater1,Random,RandomBeater1,1,1,win,15,29,342400,0.02282666666666667,0.0196,0.0412,6.4,5,7,2282141732943645483
60,Random_vs_RandomBeater1,RandomBeater1,Random,0,-1,loss,14,29,2582300,0.18445,0.1173,0.2494,6.428571428571429,5,7,2282141732943645483
61,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,7,15,144100,0.020585714285714287,0.0202,0.0216,7.0,7,7,6250239579607670850
61,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,8,15,926100,0.1157625,0.0974,0.1428,7.0,7,7,6250239579607670850
62,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,3,7,62400,0.0208,0.0203,0.0215,7.0,7,7,3367094053375734525
62,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,4,7,429100,0.107275,0.0945,0.1277,7.0,7,7,3367094053375734525
63,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,7,15,140100,0.020014285714285714,0.019,0.0214,7.0,7,7,9132806968088082126
63,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,8,15,967100,0.1208875,0.0984,0.1501,7.0,7,7,9132806968088082126
64,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,12,25,255300,0.021275,0.0195,0.0299,6.583333333333333,6,7,2908011030593083901
64,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,13,25,2012300,0.1547923076923077,0.0974,0.2217,6.615384615384615,6,7,2908011030593083901
65,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,5,10,108000,0.0216,0.0203,0.0235,7.0,7,7,5096727703705745572
65,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,5,10,598900,0.11978,0.1056,0.1402,7.0,7,7,5096727703705745572
66,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,7,14,148000,0.02114285714285714,0.0196,0.0258,7.0,7,7,1153351885008859070
66,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,7,14,775000,0.11071428571428571,0.0946,0.1367,7.0,7,7,1153351885008859070
67,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,10,21,204000,0.0204,0.0196,0.0217,7.0,7,7,955179704963564718
67,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,11,21,1588700,0.14442727272727274,0.1,0.1957,7.0,7,7,955179704963564718
68,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,6,13,122000,0.02033333333333333,0.0194,0.0215,7.0,7,7,2211793503575317853
68,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,7,13,846400,0.12091428571428571,0.099,0.1434,7.0,7,7,2211793503575317853
69,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,11,22,256800,0.023345454545454544,0.0191,0.0373,7.0,7,7,7461781596126398441
69,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,11,22,1635400,0.14867272727272726,0.1023,0.2121,6.909090909090909,6,7,7461781596126398441
70,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,14,28,299000,0.02135714285714286,0.0195,0.0252,6.357142857142857,5,7,5318343405384331812
70,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,14,28,2272800,0.16234285714285712,0.1,0.2272,6.214285714285714,5,7,5318343405384331812
71,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,3,7,62900,0.020966666666666668,0.0202,0.0225,7.0,7,7,6038017097331133053
71,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,4,7,397700,0.099425,0.0876,0.1061,7.0,7,7,6038017097331133053
72,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,6,13,127300,0.02121666666666667,0.02,0.0242,7.0,7,7,5962579948228757213
72,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,7,13,885400,0.12648571428571428,0.0971,0.1526,7.0,7,7,5962579948228757213
73,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,8,16,166200,0.020775,0.0195,0.0234,7.0,7,7,82669774607210872
73,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,8,16,1065200,0.13315,0.103,0.1615,7.0,7,7,82669774607210872
74,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,7,14,148100,0.021157142857142857,0.0201,0.0238,7.0,7,7,2732141221324819734
74,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,7,14,900900,0.1287,0.0971,0.1494,7.0,7,7,2732141221324819734
75,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,5,11,102100,0.02042,0.0199,0.022,7.0,7,7,6747454038339967904
75,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,6,11,673400,0.11223333333333332,0.103,0.1314,7.0,7,7,6747454038339967904
76,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,4,9,82600,0.02065,0.0191,0.0217,7.0,7,7,5181527331341120612
76,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,5,9,506600,0.10132,0.0931,0.1061,7.0,7,7,5181527331341120612
77,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,10,20,215100,0.02151,0.02,0.0236,7.0,7,7,7444585945017690466
77,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,10,20,1374400,0.13744,0.1037,0.1726,7.0,7,7,7444585945017690466
78,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,5,11,116000,0.0232,0.0201,0.0265,7.0,7,7,4245380754597181172
78,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,6,11,882900,0.14715,0.1059,0.2116,6.833333333333333,6,7,4245380754597181172
79,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,9,18,188000,0.02088888888888889,0.0199,0.0229,7.0,7,7,6192501822199428459
79,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,9,18,1269700,0.14107777777777777,0.0963,0.1952,7.0,7,7,6192501822199428459
80,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,4,8,84000,0.021,0.019,0.0239,7.0,7,7,2394217743037882916
